StartDate,EndDate,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13,Q14,Q15,Q16
11/23/2020 13:14,11/23/2020 13:27,770,TRUE,R_3oGGeEEfXwlEskz,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,Qt,Yes,Yes,6 to 10,More than 100,11 to 15 hours,8,4,6,2,6,2,7,2,1,1,More than 50,"Yes, I often pay closer attention to code written by developers with certain characteristics","In-experience, or experience with different programming languages or styles. But mostly it goes the other way, you learn to trust certain developers, not add less trust to others.",Yes,Not realising the input was not verified at that point and still need to be treated as user input.
11/23/2020 13:08,11/23/2020 13:30,1323,TRUE,R_pDyCyDmATA6I9gJ,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,OpenStack,Yes,No,,More than 100,More than 20 hours,9,1,5,7,9,8,1,2,1,4,11 to 20,"No, I always pay same attention to code written by any types of developers",,Yes,Failure to understand the whole system.
11/23/2020 13:36,11/23/2020 13:43,367,TRUE,R_2AHFuEw29nVVCE1,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,Android,Yes,Yes,6 to 10,More than 100,2 to 5 hours,10,4,2,1,9,1,8,2,2,4,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","Experience with the coding language and the project, prior history of projects and if those were security-critical",Yes,"synchronization and use after free defects are really hard to identify, when the code flow is usually highly non-linear"
11/23/2020 13:28,11/23/2020 13:54,1507,TRUE,R_3Mh5pl8WfI7xO6x,email,EN,"I consent, begin the study.",Male,Masters,Oceania (Australia and New Zealand,11 to 20 years,Chromium OS,Yes,Yes,6 to 10,More than 100,More than 20 hours,9,2,10,6,7,8,4,1,5,3,6 to 10,"No, I always pay same attention to code written by any types of developers",Experience and overall historical code quality.,Yes,Ofter it's just oversight. Sometimes I didn't know bigger picture or wasn't aware of such class of issues.
11/23/2020 13:24,11/23/2020 14:16,3136,TRUE,R_3EM5YRp9eotjKhF,email,EN,"I consent, begin the study.",Male,Ph.D.,Europe,More than 20 years,D programming language tooling,No,Yes,,21 to 50,Less than 2 hours,4,2,4,4,2,4,4,1,7,1,None,"No, I always pay same attention to code written by any types of developers",,No,
11/23/2020 14:20,11/23/2020 14:22,117,TRUE,R_1kFCovzkXtf5vEH,email,EN,"I consent, begin the study.",Prefer not to answer,Others,Others,More than 20 years,please take me off your fucking email list,Yes,Yes,More than 20,More than 100,More than 20 hours,4,4,4,4,4,4,4,4,4,4,More than 50,"Yes, I often pay closer attention to code written by developers with certain characteristics",please take me off your fucking email list,,please take me off your fucking email list
11/23/2020 14:19,11/23/2020 14:30,646,TRUE,R_3PgAdZPbFiyWnq9,email,EN,"I consent, begin the study.",Male,Others,Europe,More than 20 years,BSD,No,No,,More than 100,Less than 2 hours,10,3,4,5,8,4,5,1,3,2,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics",not being a prior contributor; being an inexperienced developer,Yes,not knowing enough about the potential attack vector
11/23/2020 14:25,11/23/2020 14:39,845,TRUE,R_2rGXypd1HEiwijL,email,EN,"I consent, begin the study.",Male,Bachelors,Oceania (Australia and New Zealand,More than 20 years,yaffs,Yes,No,,More than 100,Less than 2 hours,8,3,2,4,2,4,2,4,2,1,1 to 5,"No, I always pay same attention to code written by any types of developers","Too much expectation that a ""safe"" language (eg. Ada) will cure all security issues.",Yes,"Too many things to consider.
It is hard to consider all threats.
Code review does not catch architectural flaws."
11/23/2020 14:38,11/23/2020 14:51,725,TRUE,R_2wKLwg2ebfP4D5y,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),11 to 20 years,llvm,No,No,,11 to 20,Less than 2 hours,9,5,1,3,10,9,9,2,4,1,6 to 10,"No, I always pay same attention to code written by any types of developers",Experience.,Yes,Generally it's because I was short on time and didn't dedicate enough attention.
11/23/2020 14:50,11/23/2020 14:58,499,TRUE,R_3kKRheEsAFXRi8f,email,EN,"I consent, begin the study.",,,North America (US and Canada),More than 20 years,Chromium,Yes,Yes,,More than 100,16 to 20 hours,6,7,4,4,4,4,4,4,7,4,,"Yes, I often pay closer attention to code written by developers with certain characteristics",Lack of experience in software security issues,Yes,Sometimes it could be simply an oversight. Sometimes I was not familiar with a particular kind of security issues.
11/23/2020 15:11,11/23/2020 15:16,287,TRUE,R_1Hnvl0qzk5pJPqU,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,OpenDaylight,Yes,Yes,3 to 5,More than 100,16 to 20 hours,4,4,4,4,4,4,4,4,4,4,None,"No, I always pay same attention to code written by any types of developers",,No,
11/23/2020 15:11,11/23/2020 15:24,770,TRUE,R_1Hhkd0AjKrDsUnG,email,EN,"I consent, begin the study.",Male,Masters,Europe,More than 20 years,qtcreator,No,No,,21 to 50,Less than 2 hours,10,3,7,6,8,2,5,8,5,3,None,"No, I always pay same attention to code written by any types of developers",security defects are just errors... so of course inexperienced might do some more but nobody is safe...,Yes,"not paying enough attention, limited time"
11/23/2020 15:41,11/23/2020 15:49,486,TRUE,R_3KVNDktZaBAitGQ,email,EN,"I consent, begin the study.",Male,Bachelors,Europe,More than 20 years,,No,No,,More than 100,6 to 10 hours,9,1,6,1,1,4,1,1,4,2,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics",lack of interest in security,Yes,didnt care
11/23/2020 15:48,11/23/2020 15:56,522,TRUE,R_reA6E5vumpfQNoJ,email,EN,"I consent, begin the study.",Male,Masters,Europe,3 to 5 years,youtube-dl,No,No,,21 to 50,2 to 5 hours,8,2,3,5,7,4,3,2,5,9,1 to 5,"No, I always pay same attention to code written by any types of developers",inexperience and naivety.,Yes,It was a cast that was not included directly in the code under review.
11/23/2020 16:05,11/23/2020 16:13,452,TRUE,R_2PniafF1AXXiY3A,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),More than 20 years,OpenStack,No,No,,Less than 10,Less than 2 hours,8,2,2,4,3,2,7,3,1,2,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","Inexperience, fast development of code, time pressures, inadequate (security) testing",Yes,"some defects can only be caught in system testing, penetration testing or long running setups"
11/23/2020 16:04,11/23/2020 16:14,598,TRUE,R_3kdjcDtSrvZkdQ8,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,OpenStack,Yes,Yes,3 to 5,More than 100,2 to 5 hours,6,4,3,4,8,6,6,3,3,3,6 to 10,"No, I always pay same attention to code written by any types of developers",More junior developers tend to overlook certain scenarios,Yes,Lack of experience
11/23/2020 16:24,11/23/2020 16:37,746,TRUE,R_un3Kgokml3a4mjv,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,OpenStack,Yes,No,,More than 100,16 to 20 hours,5,3,4,4,4,4,3,3,2,3,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",junior: not enough experiences in computer sciences and no courses taken concerning software security best practices. Developer misinterest and not enough warned about security vulnerabilities.,No,
11/23/2020 17:03,11/23/2020 17:14,629,TRUE,R_1HjZ5v2XJzhHZeh,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,OpenStack/Ceph,No,Yes,More than 20,51 to 100,Less than 2 hours,4,4,4,4,4,4,4,4,4,4,None,"No, I always pay same attention to code written by any types of developers",,,No reason. I just assumed that I probably missed something.
11/23/2020 17:05,11/23/2020 17:17,691,TRUE,R_9pihTDhS0R3oHsJ,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,Android Developer Tools,No,No,,51 to 100,Less than 2 hours,7,2,2,7,7,10,9,1,2,7,None,"Yes, I often pay closer attention to code written by developers with certain characteristics",Diligence in previous commits.,No,
11/23/2020 17:09,11/23/2020 17:43,2024,TRUE,R_W04Rux7tb6C8oa5,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),3 to 5 years,Chromium OS,Yes,Yes,11 to 20,More than 100,6 to 10 hours,7,4,3,3,4,4,4,3,4,2,11 to 20,"No, I always pay same attention to code written by any types of developers",The more the developer deviates from the coding style guidelines (these include which language features are allowed and what coding patterns are preferred) the less confidence we have that the code doesn't have issues the guidelines were written to avoid.,Yes,"It was a D-Bus configuration issue. The build system of a third party package installed a configuration file that was missed during the initial review, but caught later. A consequence of the extra file was an attacker that had gained access to a certain UID on the system would have ability to call D-Bus APIs of a daemon that we didn't need to expose."
11/23/2020 17:48,11/23/2020 17:52,221,TRUE,R_2gjGqoiC1hlimdj,email,EN,"I consent, begin the study.",Male,Masters,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",11 to 20 years,OpenStack,Yes,Yes,1 to 2,More than 100,11 to 15 hours,9,4,3,3,2,4,3,4,4,2,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",,No,
11/23/2020 18:14,11/23/2020 18:15,10,TRUE,R_3lS8duHxeqBT9SH,email,EN,I do not consent,,,,,,,,,,,,,,,,,,,,,,,,,
11/23/2020 18:35,11/23/2020 18:42,385,TRUE,R_WeM23ml0GBI18A1,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Go,Yes,Yes,3 to 5,More than 100,More than 20 hours,8,1,7,1,8,1,1,1,3,2,1 to 5,"No, I always pay same attention to code written by any types of developers",Overly focused on performance.  Premature optimization.,Yes,Issues were subtle.
11/23/2020 23:26,11/23/2020 23:38,709,TRUE,R_1f7BaQvp4urC01J,email,EN,"I consent, begin the study.",Male,Masters,Others,More than 20 years,Linux kernel,Yes,Yes,More than 20,More than 100,11 to 15 hours,8,5,2,8,4,5,9,4,1,1,None,"No, I always pay same attention to code written by any types of developers","Inexperienced software developers make generally more mistakes, some of which may be security defects",Yes,I am not a security expert
11/23/2020 23:56,11/24/2020 0:09,763,TRUE,R_pgGO2j9z2hRlqDf,email,EN,"I consent, begin the study.",Male,Bachelors,Europe,11 to 20 years,qt project,Yes,Yes,1 to 2,More than 100,2 to 5 hours,10,8,6,10,9,8,10,5,3,7,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","New hire, overall code quality",No,
11/24/2020 0:05,11/24/2020 0:26,1250,TRUE,R_2qw5cic0Opqyaf9,email,EN,"I consent, begin the study.",Male,Masters,Europe,6 to 10 years,Qt,No,No,,More than 100,6 to 10 hours,9,9,3,4,5,4,9,8,6,5,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics","People not providing tests, not having a long track history of patches, people that tend to rewrite existing parts of the code",Yes,"It's always easier to do a careful review when there are few patches in the backlog. If there are many patches awaiting reviews, the eagerness of going through them all likely lowers the attentivness  of the reviewer and lowers the standard of acceptation.
In a way code reviews are political in that you don't want the project to be blocked, or to have to maintain a backlog of patches that you endlessly have to rework because of a nitpicky reviewer. This means you ask reviewers you trust to go over your code (and not necesseraly the reviewers that would make you rewrite everything several times) and try to dissociate personal preference in the code vs potential defects / issues a piece of code might introduce."
11/24/2020 0:14,11/24/2020 0:40,1569,TRUE,R_2eVD8JIHH53u5I6,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),6 to 10 years,Girder,Yes,No,,More than 100,6 to 10 hours,9,3,5,7,7,8,4,3,4,2,11 to 20,"Yes, I often pay closer attention to code written by developers with certain characteristics","Inexperience in software development.

Sloppy / non-rigorous professional habits and attitude.

External / new contributor to the project.",Yes,"Incorrect assumptions about the degree of security / validation provided by an underlying third-party framework / library.

Failure to consider atypical initial system state or atypical software configurations.

Failure to consider multi-stage attacks on a stateful system."
11/24/2020 0:31,11/24/2020 0:40,538,TRUE,R_8dEgaTuqAwBdTI5,email,EN,"I consent, begin the study.",Female,Others,Others,6 to 10 years,"openstack/neutron, openstack/octavia",Yes,No,,21 to 50,2 to 5 hours,6,4,4,2,9,6,5,4,3,5,None,"No, I always pay same attention to code written by any types of developers",,No,
11/24/2020 0:39,11/24/2020 0:43,283,TRUE,R_sAaYDZCKwGOo25j,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,chromium,Yes,Yes,,More than 100,Less than 2 hours,7,5,5,4,8,4,8,3,4,4,,"No, I always pay same attention to code written by any types of developers",,Yes,
11/24/2020 0:44,11/24/2020 0:59,926,TRUE,R_1eXKpuGcY71s0GT,email,EN,"I consent, begin the study.",Male,Bachelors,Oceania (Australia and New Zealand,More than 20 years,https://golang.org,No,Yes,3 to 5,More than 100,6 to 10 hours,2,1,1,1,1,1,1,4,1,1,None,"No, I always pay same attention to code written by any types of developers",,No,
11/24/2020 3:18,11/24/2020 3:27,592,TRUE,R_231NkM87Gg0DHSH,email,EN,"I consent, begin the study.",Male,Ph.D.,Others,11 to 20 years,OpenShift,Yes,Yes,3 to 5,More than 100,2 to 5 hours,5,4,1,1,5,5,4,3,4,2,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics",Trust in the developer from past work and reviews,Yes,Big and complex pull request
11/24/2020 4:38,11/24/2020 4:55,1040,TRUE,R_2EztgL638KRcaLT,email,EN,"I consent, begin the study.",Male,Masters,Oceania (Australia and New Zealand,More than 20 years,Chromium,Yes,Yes,More than 20,More than 100,11 to 15 hours,4,2,5,3,8,4,3,6,3,4,More than 50,"No, I always pay same attention to code written by any types of developers","Security defect can be introduced by the experienced as well, as it can depend on the difficulty of the code, or software architecture.",Yes,"Difficulty reasoning about object life-time in the particular review in question (defect: use-after-free) due to C++ practices that obfuscated life-time. Automated testing identified the defect in this case after code review and submit.


"
11/24/2020 4:35,11/24/2020 4:59,1420,TRUE,R_2uONSw7fsTFbtUW,email,EN,"I consent, begin the study.",Male,Masters,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",6 to 10 years,Linux kernel,Yes,Yes,3 to 5,More than 100,6 to 10 hours,8,3,4,3,7,6,6,4,2,3,11 to 20,"No, I always pay same attention to code written by any types of developers","Anyone can end up introducing security defects, with no exceptions.",Yes,"Not enough time to spend on reviewing the code.
One simply can't always catch all possible security issues."
11/23/2020 16:27,11/24/2020 4:59,45143,TRUE,R_2sdbzURuibzc2tV,email,EN,"I consent, begin the study.",Prefer not to answer,Masters,North America (US and Canada),11 to 20 years,SwiftShader,Yes,No,,More than 100,11 to 15 hours,3,6,7,1,3,2,3,1,2,4,More than 50,"No, I always pay same attention to code written by any types of developers",Inexperience with the project.,Yes,Unit tests did not cover all edge cases and gave a false sense of security.
11/24/2020 5:46,11/24/2020 7:01,4509,TRUE,R_ONGzB9WY7pNnsBj,email,EN,"I consent, begin the study.",Male,Masters,North America (US and Canada),More than 20 years,GNU binutils,Yes,No,,More than 100,6 to 10 hours,9,2,3,7,8,3,6,7,2,3,6 to 10,"No, I always pay same attention to code written by any types of developers",Lack of experiences or pay attentions to details may lead to failing to cover all cases. ,Yes,Test coverage doesn't cover corner cases.
11/24/2020 7:51,11/24/2020 8:15,1431,TRUE,R_3CCqfMoTOPKfME1,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Kubernetes,No,Yes,11 to 20,Less than 10,Less than 2 hours,9,7,2,6,10,10,7,2,2,2,1 to 5,"No, I always pay same attention to code written by any types of developers",N/A,Yes,Can't recall.
11/24/2020 8:37,11/24/2020 8:45,478,TRUE,R_2QomQHN8D4wr1Iz,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,U-Boot,Yes,Yes,3 to 5,More than 100,6 to 10 hours,1,7,4,1,8,2,8,1,1,7,1 to 5,"Yes, I often pay closer attention to code written by developers with certain characteristics",Lack of experience or familiarity with security defects,Yes,Could not imagine certain types of chosen malicious input
11/24/2020 8:50,11/24/2020 9:00,574,TRUE,R_2uVA3B7MVrtDNoz,email,EN,"I consent, begin the study.",Other,Bachelors,North America (US and Canada),More than 20 years,Vuo,Yes,No,,More than 100,More than 20 hours,6,4,2,4,4,2,7,2,3,2,11 to 20,"No, I always pay same attention to code written by any types of developers",Unfamiliarity with the current security practices for using a given programming language or framework,Yes,At the time I wasn't familiar with the kind of vulnerability that was later discovered
11/24/2020 15:11,11/24/2020 15:17,357,TRUE,R_10HFl1pK6o1svrd,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Chromium,Yes,Yes,6 to 10,More than 100,6 to 10 hours,7,4,4,4,5,4,5,6,4,4,6 to 10,"Yes, I often pay closer attention to code written by developers with certain characteristics","Inexperience with software development, inexperience with race conditions.  ",Yes,Not really--not specifically looking for them would be part of it (see comment about Chromium vs. Envoy).
11/24/2020 17:17,11/24/2020 17:24,378,TRUE,R_1kLbLpHo0fgOqLf,email,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),More than 20 years,Chromium,Yes,Yes,More than 20,More than 100,More than 20 hours,8,2,5,1,8,8,8,1,5,2,More than 50,"No, I always pay same attention to code written by any types of developers",Inexperience,Yes,"Lack of familiarity with the codebase in the area.

Assumptions about a resource cache."
11/23/2020 12:59,11/25/2020 0:49,128983,TRUE,R_3oMk4tSWUYSgUyC,email,EN,"I consent, begin the study.",Male,Masters,Europe,11 to 20 years,floaxie,No,No,,More than 100,Less than 2 hours,10,6,8,9,7,5,7,5,7,7,1 to 5,"No, I always pay same attention to code written by any types of developers","Weak coding style, lack of error handling in the code, excessive programming self-confidence.",Yes,"I missed undefined behaviour cases happening in C++ programs from time to time, as they're hardly visible and probably needed much more attention to be found, than I could pay."
11/25/2020 11:43,11/25/2020 12:03,1164,TRUE,R_RtvHUVL0BkW8P6h,email,EN,"I consent, begin the study.",Male,Ph.D.,Europe,11 to 20 years,itk,No,No,,More than 100,6 to 10 hours,6,3,7,4,3,3,5,3,3,2,More than 50,"No, I always pay same attention to code written by any types of developers","someone new in the community, young graduates",Yes,"Human make errors...
Most of time, you may have not spent enough time on the review."
11/25/2020 14:28,11/25/2020 15:19,3078,TRUE,R_1OYPe4WBMVGBrWJ,email,EN,"I consent, begin the study.",Male,Ph.D.,North America (US and Canada),More than 20 years,https://github.com/sven-oly/LanguageTools. Also https://github.com/unicode-org/icu,No,No,,More than 100,2 to 5 hours,8,5,9,3,6,7,3,5,4,4,None,"No, I always pay same attention to code written by any types of developers",Inexperienced and prior history of mistakes.,Yes,Lack of complete understanding of the performance characteristics and memory management techniques needed in the particular library.
11/19/2020 16:00,11/19/2020 16:01,99,FALSE,R_1ZTW638suTqrYpb,anonymous,EN,"I consent, begin the study.",Male,Bachelors,North America (US and Canada),11 to 20 years,KDE,,,,,,,,,,,,,,,,,,,,
11/27/2020 19:54,11/27/2020 20:01,415,TRUE,R_3R2T3TGELCHUFNA,email,EN,"I consent, begin the study.",Male,Masters,"East Asia (China, Japan, South Korea, Taiwan, Hong Kong)",More than 20 years,Android-x86,No,No,,More than 100,Less than 2 hours,8,5,6,7,7,8,7,8,7,3,None,"No, I always pay same attention to code written by any types of developers",,No,
